Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
110180770260001,Cumberland CUSD 77,Cumberland High School,289,3,0,3,98.96%,287,0,0,0,0,2,287,2,99.31%
110180770261001,Cumberland CUSD 77,Cumberland Middle School,301,7,2,9,97.01%,301,0,0,0,0,0,301,0,100.00%
110180770262003,Cumberland CUSD 77,Cumberland Elem School,404,4,0,4,99.01%,399,0,0,1,0,4,399,5,98.76%
110213010260001,Tuscola CUSD 301,Tuscola High School,308,23,0,0,92.53%,302,2,0,1,0,3,302,6,98.05%
110213010261004,Tuscola CUSD 301,East Prairie Middle School,309,2,0,0,99.35%,306,1,0,0,0,2,306,3,99.03%
110213010262002,Tuscola CUSD 301,North Ward Elementary School,392,0,0,0,100.00%,389,3,0,0,0,0,389,3,99.23%
110213020260001,Villa Grove CUSD 302,Villa Grove High School,198,2,0,0,98.99%,197,0,0,0,0,1,197,1,99.49%
110213020261001,Villa Grove CUSD 302,Villa Grove Jr High School,110,0,0,0,100.00%,110,0,0,0,0,0,110,0,100.00%
110213020262001,Villa Grove CUSD 302,Villa Grove Elem School,379,3,2,1,98.68%,372,4,2,0,0,1,372,7,98.15%
110213050260001,Arthur CUSD 305,Arthur-Lovington-Atwood-Hammond High School,270,0,0,0,100.00%,270,0,0,0,0,0,270,0,100.00%
110213050262003,Arthur CUSD 305,Arthur Grade School,444,0,0,0,100.00%,414,24,2,4,0,0,414,30,93.24%
110213050262004,Arthur CUSD 305,Lovington Grade School,228,0,0,0,100.00%,219,7,0,0,2,0,219,9,96.05%
110213050262005,Arthur CUSD 305,Atwood-Hammond Grade School,297,0,0,0,100.00%,295,2,0,0,0,0,295,2,99.33%
110213060260001,Arcola CUSD 306,Arcola High School,339,0,0,0,100.00%,337,2,0,0,0,0,337,2,99.41%
110213060262002,Arcola CUSD 306,Arcola Elementary School,428,1,1,1,99.53%,424,2,0,0,1,1,424,4,99.07%
110230010260001,Shiloh CUSD 1,Shiloh High School,186,2,0,0,98.92%,186,0,0,0,0,0,186,0,100.00%
110230010262002,Shiloh CUSD 1,Shiloh Elementary School,223,3,0,0,98.65%,223,0,0,0,0,0,223,0,100.00%
11023001X100000,Nonpublic School,St Mary School,71,4,0,0,94.37%,67,0,0,0,0,4,67,4,94.37%
110230030260001,Kansas CUSD 3,Kansas High School,114,0,0,0,100.00%,113,1,0,0,0,0,113,1,99.12%
110230030262002,Kansas CUSD 3,Kansas Elem School,111,0,0,0,100.00%,106,5,0,0,0,0,106,5,95.50%
110230040260002,Paris CUSD 4,Paris Cooperative High School 4,219,1,0,1,99.54%,219,0,0,0,0,0,219,0,100.00%
110230040261001,Paris CUSD 4,Crestwood Jr High School,143,1,0,1,99.30%,143,0,0,0,0,0,143,0,100.00%
110230040262001,Paris CUSD 4,Crestwood Elem School,330,1,0,0,99.70%,329,1,0,0,0,0,329,1,99.70%
110230060260001,Edgar County CUD 6,Chrisman High School,110,0,0,0,100.00%,110,0,0,0,0,0,110,0,100.00%
110230060261001,Edgar County CUD 6,Chrisman-Scottland Jr High School,75,0,0,0,100.00%,75,0,0,0,0,0,75,0,100.00%
110230060262003,Edgar County CUD 6,Chrisman Elem School,160,0,0,0,100.00%,159,0,0,1,0,0,159,1,99.38%
110230950250002,Paris-Union SD 95,Paris Cooperative High School 95,368,0,0,0,100.00%,368,0,0,0,0,0,368,0,100.00%
110230950251001,Paris-Union SD 95,Mayo Middle School,284,0,0,0,100.00%,284,0,0,0,0,0,284,0,100.00%
110230950252003,Paris-Union SD 95,Memorial Elementary School,340,1,0,1,99.71%,336,1,2,0,0,1,336,4,98.82%
110230950252006,Paris-Union SD 95,Carolyn Wenz Elem School,290,0,0,0,100.00%,288,2,0,0,0,0,288,2,99.31%
110230950253001,Paris-Union SD 95,Creative Center for Children,80,0,0,0,100.00%,80,0,0,0,0,0,80,0,100.00%
11070004Z220000,Nonpublic School,Arthur Christian School,77,34,0,0,55.84%,46,3,0,0,0,28,46,31,59.74%
110703000260004,Sullivan CUSD 300,Sullivan High School,348,4,0,1,98.85%,339,0,7,0,0,2,339,9,97.41%
110703000261001,Sullivan CUSD 300,Sullivan Middle School,247,2,0,0,99.19%,240,1,5,0,0,1,240,7,97.17%
110703000262001,Sullivan CUSD 300,Sullivan Elem School,507,7,0,0,98.62%,491,6,5,1,0,4,491,16,96.84%
110703020260001,Okaw Valley CUSD 302,Okaw Valley High School,170,3,0,0,98.24%,169,1,0,0,0,0,169,1,99.41%
110703020261001,Okaw Valley CUSD 302,Okaw Valley Middle School,158,2,2,0,97.47%,158,0,0,0,0,0,158,0,100.00%
110703020262001,Okaw Valley CUSD 302,Okaw Valley Elementary School,184,0,0,0,100.00%,184,0,0,0,0,0,184,0,100.00%
110870010260002,Windsor CUSD 1,Windsor Jr & Sr High School,148,0,0,0,100.00%,147,0,0,1,0,0,147,1,99.32%
110870010262002,Windsor CUSD 1,Windsor Elem School,228,1,0,0,99.56%,227,0,0,0,0,1,227,1,99.56%
11087002X100000,Nonpublic School,St Michael School,139,0,0,0,100.00%,139,0,0,0,0,0,139,0,100.00%
11087003A260001,Cowden-Herrick CUSD 3A,Cowden-Herrick Jr/Sr High School,213,0,0,0,100.00%,212,1,0,0,0,0,212,1,99.53%
11087003A262001,Cowden-Herrick CUSD 3A,Cowden-Herrick Grade School,180,13,6,0,89.44%,166,1,0,0,1,12,166,14,92.22%
110870040260001,Shelbyville CUSD 4,Shelbyville High School,380,0,0,0,100.00%,380,0,0,0,0,0,380,0,100.00%
110870040262002,Shelbyville CUSD 4,Moulton Elementary School,440,0,0,0,100.00%,439,1,0,0,0,0,439,1,99.77%
110870040262003,Shelbyville CUSD 4,Main Street Elementary School,318,2,1,0,99.06%,317,0,0,0,0,1,317,1,99.69%
110870040262006,Shelbyville CUSD 4,Shelbyville Kindergarten Center,88,0,0,0,100.00%,86,1,0,0,1,0,86,2,97.73%
11087004X060000,Nonpublic School,Trinity Lutheran School,99,4,0,0,95.96%,96,0,0,0,0,3,96,3,96.97%
11087005A260001,Stewardson-Strasburg CUD 5A,Stewardson-Strasburg High School,111,0,0,0,100.00%,110,1,0,0,0,0,110,1,99.10%
11087005A262003,Stewardson-Strasburg CUD 5A,Stewardson-Strasburg Elem School,220,0,0,0,100.00%,220,0,0,0,0,0,220,0,100.00%
11087006Z250000,Nonpublic School,Mid-America Preparatory School,47,3,0,0,93.62%,47,0,0,0,0,0,47,0,100.00%
110870210260001,Central A & M CUD 21,Central A & M High School,244,0,0,0,100.00%,244,0,0,0,0,0,244,0,100.00%
110870210261001,Central A & M CUD 21,Central A & M Middle School,179,4,1,0,97.21%,179,0,0,0,0,0,179,0,100.00%
110870210262001,Central A & M CUD 21,Gregory Intermediate,172,0,0,0,100.00%,172,0,0,0,0,0,172,0,100.00%
110870210262002,Central A & M CUD 21,Bond Primary,167,0,0,0,100.00%,167,0,0,0,0,0,167,0,100.00%
110870210263001,Central A & M CUD 21,Kemmerer Village School,25,0,0,0,100.00%,25,0,0,0,0,0,25,0,100.00%
120130100260002,Clay City CUSD 10,Clay City High School,77,0,0,0,100.00%,77,0,0,0,0,0,77,0,100.00%
120130100261001,Clay City CUSD 10,Clay City Jr High School,55,0,0,0,100.00%,54,1,0,0,0,0,54,1,98.18%
120130100262001,Clay City CUSD 10,Clay City Elem School,198,1,1,0,98.99%,196,1,0,0,0,1,196,2,98.99%
120130250260001,North Clay CUSD 25,North Clay Community High School,175,0,1,1,99.43%,172,3,0,0,0,0,172,3,98.29%
120130250262004,North Clay CUSD 25,North Clay Elem/Jr High Sch,477,0,6,6,98.74%,474,3,0,0,0,0,474,3,99.37%
120130350260001,Flora CUSD 35,Flora High School,352,0,0,0,100.00%,351,1,0,0,0,0,351,1,99.72%
120130350261001,Flora CUSD 35,Floyd Henson Jr High Sch,291,1,0,1,99.66%,290,1,0,0,0,0,290,1,99.66%
120130350262001,Flora CUSD 35,Xenia Grade School,123,0,0,0,100.00%,120,3,0,0,0,0,120,3,97.56%
120130350262002,Flora CUSD 35,Mcendree Elem School,249,0,0,0,100.00%,246,3,0,0,0,0,246,3,98.80%
120130350262005,Flora CUSD 35,Lincoln School,167,0,0,0,100.00%,167,0,0,0,0,0,167,0,100.00%
120130350262006,Flora CUSD 35,Washington School,180,0,0,0,100.00%,178,2,0,0,0,0,178,2,98.89%
120170010260001,Hutsonville CUSD 1,Hutsonville High School,108,0,0,0,100.00%,107,0,0,1,0,0,107,1,99.07%
120170010262002,Hutsonville CUSD 1,Hutsonville Elem and Jr High Sch,241,0,0,0,100.00%,241,0,0,0,0,0,241,0,100.00%
120170020260001,Robinson CUSD 2,Robinson High School,480,3,1,0,99.17%,474,3,0,0,0,3,474,6,98.75%
120170020261005,Robinson CUSD 2,Nuttall Middle School,344,0,0,0,100.00%,344,0,0,0,0,0,344,0,100.00%
120170020262004,Robinson CUSD 2,Lincoln Elementary School,371,1,1,0,99.46%,369,1,0,0,0,1,369,2,99.46%
120170020262007,Robinson CUSD 2,Washington Elem School,421,0,0,0,100.00%,418,1,0,2,0,0,418,3,99.29%
12017002X140000,Nonpublic School,New Hebron Christian School,127,6,0,0,95.28%,120,1,5,0,0,1,120,7,94.49%
120170030260001,Palestine CUSD 3,Palestine High School,116,1,0,1,99.14%,116,0,0,0,0,0,116,0,100.00%
120170030262002,Palestine CUSD 3,Palestine Grade School,235,4,0,3,98.30%,235,0,0,0,0,0,235,0,100.00%
120170040260001,Oblong CUSD 4,Oblong High School,193,39,0,0,79.79%,189,0,1,0,0,3,189,4,97.93%
120170040262002,Oblong CUSD 4,Oblong Elem School,422,76,4,0,81.04%,396,1,0,0,0,25,396,26,93.84%
120400010260001,Jasper County CUD 1,Newton Comm High School,442,1,1,0,99.55%,442,0,0,0,0,0,442,0,100.00%
120400010261003,Jasper County CUD 1,Jasper Co Jr High,216,0,0,0,100.00%,216,0,0,0,0,0,216,0,100.00%
120400010262002,Jasper County CUD 1,Newton Elem School,581,15,4,0,96.73%,573,5,0,0,0,3,573,8,98.62%
120400010262011,Jasper County CUD 1,Ste Marie Elem School,136,3,0,0,97.79%,135,0,0,0,0,1,135,1,99.26%
12040001X100000,Nonpublic School,St Thomas,129,0,0,0,100.00%,127,2,0,0,0,0,127,2,98.45%
120510100260001,Red Hill CUSD 10,Red Hill Jr/Sr High School,428,1,0,0,99.77%,428,0,0,0,0,0,428,0,100.00%
120510100262005,Red Hill CUSD 10,Bridgeport Grade School,389,1,0,1,99.74%,387,0,0,1,0,1,387,2,99.49%
120510100262008,Red Hill CUSD 10,Sumner Attendance Center,234,1,1,0,99.15%,234,0,0,0,0,0,234,0,100.00%
120510200260008,Lawrence County CUD 20,Lawrenceville High School,340,0,2,2,99.41%,339,1,0,0,0,0,339,1,99.71%
120510200261007,Lawrence County CUD 20,Parkview Jr High School,245,0,1,1,99.59%,244,1,0,0,0,0,244,1,99.59%
120510200262007,Lawrence County CUD 20,Parkside Elementary School,630,0,0,0,100.00%,618,11,0,1,0,0,618,12,98.10%
120800010260001,East Richland CUSD 1,East Richland High School,725,0,1,1,99.86%,720,4,0,1,0,0,720,5,99.31%
120800010261002,East Richland CUSD 1,East Richland Middle School,571,4,3,4,98.77%,563,7,0,1,0,0,563,8,98.60%
120800010262008,East Richland CUSD 1,East Richland Elementary School,"1,007",0,0,0,100.00%,"1,000",7,0,0,0,0,"1,000",7,99.30%
120800010262009,East Richland CUSD 1,West Richland Elementary School,150,0,0,0,100.00%,149,1,0,0,0,0,149,1,99.33%
12080001X100000,Nonpublic School,St Joseph Grade School,230,0,0,0,100.00%,229,0,1,0,0,0,229,1,99.57%
130140010260001,Carlyle CUSD 1,Carlyle High School,342,0,1,0,99.71%,340,2,0,0,0,0,340,2,99.42%
130140010261001,Carlyle CUSD 1,Carlyle Junior High School,386,1,0,0,99.74%,383,2,1,0,0,0,383,3,99.22%
130140010262002,Carlyle CUSD 1,Carlyle Elementary School,398,0,1,0,99.75%,393,4,0,1,0,0,393,5,98.74%
13014001Y100000,Nonpublic School,Mater Dei High School,427,55,0,0,87.12%,427,0,0,0,0,0,427,0,100.00%
130140030260006,Wesclin CUSD 3,Wesclin Sr High School,412,0,0,0,100.00%,410,2,0,0,0,0,410,2,99.51%
130140030262001,Wesclin CUSD 3,Trenton Elem School,233,0,0,0,100.00%,232,0,0,1,0,0,232,1,99.57%
130140030262005,Wesclin CUSD 3,New Baden Elementary School,199,0,0,0,100.00%,195,0,0,2,2,0,195,4,97.99%
130140030262006,Wesclin CUSD 3,Wesclin Middle School,475,0,0,0,100.00%,475,0,0,0,0,0,475,0,100.00%
13014004X100000,Nonpublic School,All Saints Academy,278,0,0,0,100.00%,277,0,0,1,0,0,277,1,99.64%
13014008X060000,Nonpublic School,Trinity Lutheran School,75,0,0,0,100.00%,75,0,0,0,0,0,75,0,100.00%
13014011Y060000,Nonpublic School,Christ Our Rock Lutheran HS,111,0,0,0,100.00%,111,0,0,0,0,0,111,0,100.00%
130140120042001,Breese ESD 12,Breese Elem School,427,1,0,1,99.77%,427,0,0,0,0,0,427,0,100.00%
130140120042002,Breese ESD 12,Beckemeyer Elem School,183,0,0,0,100.00%,180,3,0,0,0,0,180,3,98.36%
130140210022001,Aviston SD 21,Aviston Elem School,398,0,0,0,100.00%,395,1,1,1,0,0,395,3,99.25%
130140460022001,Willow Grove SD 46,Willow Grove Elem School,175,6,0,0,96.57%,172,0,0,0,0,3,172,3,98.29%
130140570022001,Bartelso SD 57,Bartelso Elem School,136,0,0,0,100.00%,136,0,0,0,0,0,136,0,100.00%
130140600022001,Germantown SD 60,Germantown Elem School,262,3,0,0,98.85%,259,2,0,0,0,1,259,3,98.85%
130140620022001,Damiansville SD 62,Damiansville Elem School,92,0,0,0,100.00%,91,1,0,0,0,0,91,1,98.91%
130140630022001,Albers SD 63,Albers Elem School,185,0,0,0,100.00%,154,0,31,0,0,0,154,31,83.24%
130140710160001,Central CHSD 71,Central Comm High School,550,0,1,1,99.82%,549,1,0,0,0,0,549,1,99.82%
130141415022001,St Rose SD 14-15,St Rose Elem School,166,0,0,0,100.00%,164,2,0,0,0,0,164,2,98.80%
130141860022001,North Wamac SD 186,North Wamac Grade School,131,22,0,0,83.21%,109,0,0,0,0,22,109,22,83.21%
130580010032001,Raccoon Cons SD 1,Raccoon Cons Elem School,231,0,0,0,100.00%,230,0,1,0,0,0,230,1,99.57%
13058002X100000,Nonpublic School,St Mary School,102,0,0,0,100.00%,102,0,0,0,0,0,102,0,100.00%
13058004X060000,Nonpublic School,Trinity Lutheran School,127,0,0,0,100.00%,127,0,0,0,0,0,127,0,100.00%
130580070042001,Iuka CCSD 7,Iuka Comm Cons School,220,1,0,0,99.55%,211,3,0,3,3,0,211,9,95.91%
130580100042003,Selmaville CCSD 10,Selmaville Elem School,224,8,1,0,95.98%,217,0,0,0,0,7,217,7,96.88%
13058010X100000,Nonpublic School,St Theresa of Avila,54,0,0,0,100.00%,54,0,0,0,0,0,54,0,100.00%
130581000260002,Patoka CUSD 100,Patoka Sr High School,71,0,0,0,100.00%,71,0,0,0,0,0,71,0,100.00%
130581000261001,Patoka CUSD 100,Patoka Jr High School,33,0,0,0,100.00%,33,0,0,0,0,0,33,0,100.00%
130581000262001,Patoka CUSD 100,Patoka Elem School,152,0,0,0,100.00%,151,0,0,0,1,0,151,1,99.34%
130581110022004,Salem SD 111,Hawthorn Elem School,455,0,0,0,100.00%,447,4,0,4,0,0,447,8,98.24%
130581110022005,Salem SD 111,Franklin Park Middle School,542,0,0,0,100.00%,540,2,0,0,0,0,540,2,99.63%
130581330022001,Central City SD 133,Central City Elem School,296,3,0,0,98.99%,295,1,0,0,0,0,295,1,99.66%
130581350021001,Centralia SD 135,Centralia Jr High School,522,2,1,0,99.43%,522,0,0,0,0,0,522,0,100.00%
130581350022003,Centralia SD 135,Field Kindergarten Center,175,1,2,0,98.29%,174,0,0,0,0,1,174,1,99.43%
130581350022006,Centralia SD 135,Jordan Elem School,250,0,1,0,99.60%,250,0,0,0,0,0,250,0,100.00%
130581350022007,Centralia SD 135,Lincoln Elem School,148,0,0,0,100.00%,148,0,0,0,0,0,148,0,100.00%
130581350022008,Centralia SD 135,Schiller Elem School,210,0,0,0,100.00%,210,0,0,0,0,0,210,0,100.00%
130581350023001,Centralia SD 135,Centralia Pre-Kindergarten Ctr,35,0,0,0,100.00%,35,0,0,0,0,0,35,0,100.00%
130582000170001,Centralia HSD 200,Centralia High School,936,3,0,0,99.68%,933,0,0,0,0,3,933,3,99.68%
130584010260001,South Central CUD 401,South Central High School,201,0,0,0,100.00%,201,0,0,0,0,0,201,0,100.00%
130584010261001,South Central CUD 401,South Central Middle School,205,0,0,0,100.00%,204,1,0,0,0,0,204,1,99.51%
130584010262002,South Central CUD 401,South Central Elementary-Kinmundy,289,0,0,0,100.00%,285,4,0,0,0,0,285,4,98.62%
130585010260001,Sandoval CUSD 501,Sandoval Sr High School,152,0,0,0,100.00%,152,0,0,0,0,0,152,0,100.00%
130585010261002,Sandoval CUSD 501,Sandoval Jr High School,64,0,0,0,100.00%,64,0,0,0,0,0,64,0,100.00%
130585010262002,Sandoval CUSD 501,Sandoval Elem School,297,1,0,0,99.66%,292,1,0,1,2,1,292,5,98.32%
130586000160001,Salem CHSD 600,Salem Community High School,743,0,0,0,100.00%,743,0,0,0,0,0,743,0,100.00%
130587220260001,Odin PSD 722,Odin Attendance Center 9-12,79,0,0,0,100.00%,79,0,0,0,0,0,79,0,100.00%
130587220262001,Odin PSD 722,Odin Attendance Center K-8,228,0,0,0,100.00%,226,1,1,0,0,0,226,2,99.12%
13095001X060000,Nonpublic School,Immanuel Lutheran,46,0,0,0,100.00%,46,0,0,0,0,0,46,0,100.00%
13095006X060000,Nonpublic School,Trinity Lutheran,30,0,0,0,100.00%,30,0,0,0,0,0,30,0,100.00%
13095008X100000,Nonpublic School,St Ann Elementary School,109,0,0,0,100.00%,109,0,0,0,0,0,109,0,100.00%
13095009X060000,Nonpublic School,Trinity-St John Lutheran,122,3,0,0,97.54%,119,0,0,0,0,3,119,3,97.54%
130950100260001,West Washington Co CUD 10,Okawville Jr/Sr High School,243,0,1,1,99.59%,243,0,0,0,0,0,243,0,100.00%
130950100262003,West Washington Co CUD 10,Okawville Grade School,293,2,1,2,98.98%,292,0,0,1,0,0,292,1,99.66%
130950110042001,Irvington CCSD 11,Irvington Elem School,56,0,0,0,100.00%,54,0,0,0,2,0,54,2,96.43%
130950150042001,Ashley CCSD 15,Ashley Com Consolidated School,133,2,0,0,98.50%,132,0,0,0,0,1,132,1,99.25%
130950290032001,Hoyleton Cons SD 29,Hoyleton Cons Elem School,41,0,0,0,100.00%,41,0,0,0,0,0,41,0,100.00%
130950490042002,Nashville CCSD 49,Nashville Grade School,544,0,0,0,100.00%,534,10,0,0,0,0,534,10,98.16%
130950990160001,Nashville CHSD 99,Nashville Comm High School,395,0,0,0,100.00%,392,3,0,0,0,0,392,3,99.24%
15016003Y100000,Nonpublic School,Leo High School,122,0,0,0,100.00%,122,0,0,0,0,0,122,0,100.00%
15016004X010000,Nonpublic School,Catherine Cook School,534,12,0,0,97.75%,519,6,0,0,0,9,519,15,97.19%
15016005Y100000,Nonpublic School,St Patrick High School,675,0,0,0,100.00%,671,2,2,0,0,0,671,4,99.41%
15016009Z010000,Nonpublic School,Stevens Academy of Life,5,0,0,0,100.00%,5,0,0,0,0,0,5,0,100.00%
15016017Y100000,Nonpublic School,Brother Rice High School,825,78,0,0,90.55%,790,2,0,0,0,33,790,35,95.76%
15016020Y080000,Nonpublic School,Lake View Academy,8,0,0,0,100.00%,8,0,0,0,0,0,8,0,100.00%
15016022P003101,Early Childhood,The Childrens Foundation,35,0,0,0,100.00%,35,0,0,0,0,0,35,0,100.00%
15016022P003102,Early Childhood,Tom Thumb Community Child Care Center,69,0,0,0,100.00%,69,0,0,0,0,0,69,0,100.00%
15016022P003103,Early Childhood,Palatine Community Child Care Center,49,0,0,0,100.00%,48,0,1,0,0,0,48,1,97.96%
15016022Y050000,Nonpublic School,Ida Crown Jewish Academy,258,0,0,0,100.00%,258,0,0,0,0,0,258,0,100.00%
15016023Z110000,Nonpublic School,Hinsdale Adventist Academy,253,44,19,0,75.10%,222,7,0,0,0,24,222,31,87.75%
15016024Y100000,Nonpublic School,De La Salle Institute,995,7,0,7,99.30%,988,0,0,0,0,7,988,7,99.30%
15016031Y100000,Nonpublic School,DePaul College Prep,518,0,0,0,100.00%,517,1,0,0,0,0,517,1,99.81%
15016038Y100000,Nonpublic School,Holy Trinity High School,281,0,0,0,100.00%,270,2,0,9,0,0,270,11,96.09%
15016043Z010000,Nonpublic School,University of Chicago Lab Schs,"1,888",31,15,0,97.56%,"1,871",3,3,1,0,10,"1,871",17,99.10%
15016050Z060000,Nonpublic School,Luther North College Prep,166,0,0,0,100.00%,161,2,0,3,0,0,161,5,96.99%
15016054X100000,Nonpublic School,Immaculate Conception,433,1,1,0,99.54%,428,1,1,3,0,0,428,5,98.85%
15016055X160000,Nonpublic School,South Loop Montessori School,26,0,0,0,100.00%,26,0,0,0,0,0,26,0,100.00%
15016056Y100000,Nonpublic School,Marist High School,"1,662",9,0,0,99.46%,"1,652",6,1,1,0,2,"1,652",10,99.40%
15016060Y100000,Nonpublic School,Mother Mcauley Liberal Arts H S,"1,096",0,0,0,100.00%,"1,092",4,0,0,0,0,"1,092",4,99.64%
15016061Z010000,Nonpublic School,Morgan Park Academy,422,0,0,0,100.00%,412,8,0,2,0,0,412,10,97.63%
15016062X100000,Nonpublic School,Immaculate Conception,181,1,0,0,99.45%,180,0,0,0,0,1,180,1,99.45%
15016065Y100000,Nonpublic School,Mt Carmel High School,668,44,0,0,93.41%,623,1,0,0,0,44,623,45,93.26%
15016069X160000,Nonpublic School,All Day Montessori,75,0,0,0,100.00%,75,0,0,0,0,0,75,0,100.00%
15016070Y100000,Nonpublic School,Notre Dame High School for Girls,68,0,0,0,100.00%,65,0,0,3,0,0,65,3,95.59%
15016072Z010000,Nonpublic School,Providence - St Mel School,458,0,0,0,100.00%,443,15,0,0,0,0,443,15,96.72%
15016075S190000,Nonpublic School,South Central Comm Serv Inc,31,0,2,0,93.55%,31,0,0,0,0,0,31,0,100.00%
15016077Y100000,Nonpublic School,Resurrection High School,585,0,0,0,100.00%,582,2,1,0,0,0,582,3,99.49%
15016079Y010000,Nonpublic School,Prologue,229,0,0,0,100.00%,229,0,0,0,0,0,229,0,100.00%
15016080X010000,Nonpublic School,Excellence in Academic Achievement Academy,5,0,0,0,100.00%,5,0,0,0,0,0,5,0,100.00%
15016081Y010000,Nonpublic School,Fresh Anointing Academy of Excellence,7,3,0,0,57.14%,1,1,0,2,0,3,1,6,14.29%
15016082Y010000,Nonpublic School,Comm Christian Alternative Acad,196,10,11,7,89.29%,196,0,0,0,0,0,196,0,100.00%
15016085Y100000,Nonpublic School,St Benedict High School,173,0,0,0,100.00%,173,0,0,0,0,0,173,0,100.00%
15016086Y100000,Nonpublic School,Our Lady of Tepeyac High School,154,0,0,0,100.00%,141,0,0,13,0,0,141,13,91.56%
15016088Y100000,Nonpublic School,St Francis De Sales High School,142,0,1,1,99.30%,141,0,1,0,0,0,141,1,99.30%
15016090X140000,Nonpublic School,St Sava Academy,97,0,0,0,100.00%,94,3,0,0,0,0,94,3,96.91%
15016092Y100000,Nonpublic School,St Ignatius College Prep,"1,384",0,0,0,100.00%,"1,373",6,2,3,0,0,"1,373",11,99.21%
15016093X050000,Nonpublic School,Chicago Jewish Day School,208,2,0,0,99.04%,200,6,0,2,0,0,200,8,96.15%
15016100X010000,Nonpublic School,Chicago Grammar School,86,0,0,0,100.00%,86,0,0,0,0,0,86,0,100.00%
15016101X010000,Nonpublic School,HOPE Excel Reaching the World Acad,13,0,0,0,100.00%,13,0,0,0,0,0,13,0,100.00%
15016102X010000,Nonpublic School,Philadelphia School of Arts,25,0,0,0,100.00%,25,0,0,0,0,0,25,0,100.00%
15016108Y100000,Nonpublic School,St Rita High School,638,16,0,0,97.49%,613,0,0,9,0,16,613,25,96.08%
15016112X140000,Nonpublic School,Masters Academy,42,0,0,0,100.00%,42,0,0,0,0,0,42,0,100.00%
15016113X010000,Nonpublic School,German School Chicago,84,4,0,0,95.24%,81,3,0,0,0,0,81,3,96.43%
15016115X010000,Nonpublic School,Intercultural Montessori of Chicago,201,2,1,0,98.51%,193,8,0,0,0,0,193,8,96.02%
15016116Z010000,Nonpublic School,Chicago Waldorf School,338,24,0,0,92.90%,230,68,2,21,0,17,230,108,68.05%
15016122Y010000,Nonpublic School,Wolcott School,53,0,0,0,100.00%,53,0,0,0,0,0,53,0,100.00%
15016141X020000,Nonpublic School,Mind Shapers Christian Academy,18,0,0,0,100.00%,18,0,0,0,0,0,18,0,100.00%
15016143X010000,Nonpublic School,Chicago Free School,53,3,0,0,94.34%,50,0,0,0,0,3,50,3,94.34%
15016175X060000,Nonpublic School,Grace Christian Academy,133,0,0,0,100.00%,133,0,0,0,0,0,133,0,100.00%
15016178X060000,Nonpublic School,Jehovah Lutheran School,34,2,0,0,94.12%,34,0,0,0,0,0,34,0,100.00%
15016185X060000,Nonpublic School,St James Lutheran,160,11,0,0,93.13%,144,0,0,5,0,11,144,16,90.00%
15016186X060000,Nonpublic School,St John Ev Lutheran School,190,1,0,0,99.47%,188,0,0,2,0,0,188,2,98.95%
15016187X060000,Nonpublic School,St Luke Academy,96,0,0,0,100.00%,95,0,0,1,0,0,95,1,98.96%
15016189X060000,Nonpublic School,St Paul Lutheran School,86,0,0,0,100.00%,85,0,1,0,0,0,85,1,98.84%
15016190X060000,Nonpublic School,St Paul Lutheran School,72,9,0,1,87.50%,61,2,0,1,0,8,61,11,84.72%
15016192X060000,Nonpublic School,Lutheran Unity School,133,18,0,0,86.47%,125,1,2,0,0,5,125,8,93.98%
15016194X060000,Nonpublic School,St Philip Lutheran,85,0,0,0,100.00%,84,0,0,0,1,0,84,1,98.82%
15016201X060000,Nonpublic School,Bethesda International Academy,58,0,0,0,100.00%,58,0,0,0,0,0,58,0,100.00%
15016203X060000,Nonpublic School,Grace English Lutheran School,52,8,4,0,76.92%,45,0,0,0,0,7,45,7,86.54%
15016206X060000,Nonpublic School,Pilgrim Lutheran School,144,0,0,0,100.00%,134,5,0,5,0,0,134,10,93.06%
15016210X050000,Nonpublic School,Akiba-Schechter Day School,255,71,0,0,72.16%,212,8,0,0,0,35,212,43,83.14%
15016211X050000,Nonpublic School,Bernard Zell Anshe Emet Day Sch,541,1,0,0,99.82%,539,0,1,0,0,1,539,2,99.63%
15016217X260000,Nonpublic School,Midwestern Christian Academy,197,0,0,0,100.00%,189,6,1,1,0,0,189,8,95.94%
15016228X100000,Nonpublic School,St Columbanus School,177,5,8,2,92.66%,165,0,0,9,0,3,165,12,93.22%
15016231X050000,Nonpublic School,Joan Dachs Bais Yaakov Yeshivas Tiferes Tvi,973,12,7,0,98.05%,942,15,0,12,0,4,942,31,96.81%
15016238Y100000,Nonpublic School,Christ the King Jesuit College Preparatory Scho,314,18,0,0,94.27%,296,0,0,0,0,18,296,18,94.27%
15016241X010000,Nonpublic School,North Park Elementary School,219,0,0,0,100.00%,219,0,0,0,0,0,219,0,100.00%
15016248Y050000,Nonpublic School,Bnos Rabbeinu High School,10,0,0,0,100.00%,9,1,0,0,0,0,9,1,90.00%
