Immunization Status of School-Age Children in Illinois for School Year 2014-2015,,,,,,,,,,,,,,,,
Region-County-District-Type-School (RCDTS) ,District,Facility,,,,,,Polio,,,,,,,,
,,,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %
050160150043001,Palatine CCSD 15,John G Conyers Learning Academy,299,6,0,6,97.99%,293,0,0,0,0,6,293,6,97.99%
050160210041002,Wheeling CCSD 21,Cooper Middle School,701,0,0,0,100.00%,696,4,0,1,0,0,696,5,99.29%
050160210041006,Wheeling CCSD 21,Oliver W Holmes Middle School,762,0,0,0,100.00%,762,0,0,0,0,0,762,0,100.00%
050160210041007,Wheeling CCSD 21,Jack London Middle School,646,0,0,0,100.00%,640,3,1,2,0,0,640,6,99.07%
050160210042003,Wheeling CCSD 21,Eugene Field Elem School,596,0,0,0,100.00%,593,2,0,0,1,0,593,3,99.50%
050160210042004,Wheeling CCSD 21,Robert Frost Elem School,587,0,0,0,100.00%,581,6,0,0,0,0,581,6,98.98%
050160210042007,Wheeling CCSD 21,Joyce Kilmer Elem School,489,0,0,0,100.00%,488,1,0,0,0,0,488,1,99.80%
050160210042009,Wheeling CCSD 21,Henry W Longfellow Elem School,420,0,0,0,100.00%,414,5,1,0,0,0,414,6,98.57%
050160210042010,Wheeling CCSD 21,Edgar A Poe Elem School,422,0,0,0,100.00%,416,3,1,2,0,0,416,6,98.58%
050160210042011,Wheeling CCSD 21,J W Riley Elem School,347,0,0,0,100.00%,342,3,2,0,0,0,342,5,98.56%
050160210042013,Wheeling CCSD 21,Booth Tarkington Elem School,433,0,0,0,100.00%,431,2,0,0,0,0,431,2,99.54%
050160210042014,Wheeling CCSD 21,Mark Twain Elem School,474,0,0,0,100.00%,474,0,0,0,0,0,474,0,100.00%
050160210042015,Wheeling CCSD 21,Walt Whitman Elem School,532,1,0,0,99.81%,531,0,0,0,0,1,531,1,99.81%
050160210043001,Wheeling CCSD 21,Nathaniel Hawthorne Early Childhood Sch,542,0,0,0,100.00%,542,0,0,0,0,0,542,0,100.00%
050160230021002,Prospect Heights SD 23,MacArthur Middle School,516,2,0,2,99.61%,516,0,0,0,0,0,516,0,100.00%
050160230022001,Prospect Heights SD 23,Dwight D Eisenhower Elem School,389,0,0,0,100.00%,382,5,0,1,1,0,382,7,98.20%
050160230022004,Prospect Heights SD 23,Betsy Ross Elem School,300,1,0,1,99.67%,295,3,0,0,1,1,295,5,98.33%
