Immunization School Survey Report 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDT,Region,District,School,Total Sch. Enroll.,Total - NC,Unduplic.,Total Excluded,NC-PE Only,Polio Prot.,Polio Rel.,Polio Med.,Polio App. Sch.,Polio UP/NC,Polio Total,DTP Prot.,DTP-Rel.,DTP-Med.,DTP-AS,DTP-UP/NC,DTP-Total,Meas. Prot.,Meas. Rel.,Meas. Med.,Meas. AS,Meas. UP/NC,Meas. Total,Rubella Prot.,Rubella-Rel.,Rubella-Med.,Rubella-AS,Rubella-UP/NC,Rubella-Total,Mump Prot.,Mump Rel.,Mump Med.,Mump AS,Mump UP/NC,Mump Total,HepB Prot.,HepB Rel.,HepB Med.,HepB AS,HepB Excluded,HepB UP/NC,HepB Total,Hib Prot.,Hib Rel.,Hib Med.,Hib AS,Hib Excluded,Hib UP/NC,Hib Total,Cpox Prot.,Cpox Rel.,Cpox Med.,Cpox AS,Cpox UP/NC,Cpox Total,,,,
01001021S19,01,021S,n/a,14,0,0,0,0,14,0,0,0,0,14,14,0,0,0,0,14,14,0,0,0,0,14,14,0,0,0,0,14,14,0,0,0,0,14,11,0,0,1,2,0,12,1,0,0,0,13,0,1,2,0,0,0,0,2,,,,
01001025Z26,01,025Z,n/a,61,0,0,0,0,61,0,0,0,0,61,61,0,0,0,0,61,61,0,0,0,0,61,61,0,0,0,0,61,61,0,0,0,0,61,0,0,0,0,61,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,1001,179,0,0,0,0,179,0,0,0,0,179,179,0,0,0,0,179,179,0,0,0,0,179,179,0,0,0,0,179,179,0,0,0,0,179,179,0,0,0,0,0,179,0,0,0,0,179,0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,1003,"1,628",12,7,8,5,"1,620",4,2,0,2,"1,628","1,616",4,2,0,6,"1,628","1,622",4,0,0,2,"1,628","1,622",4,0,0,2,"1,628","1,622",4,0,0,2,"1,628","1,619",4,1,1,0,3,"1,628",0,0,0,0,"1,628",0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,2004,251,0,0,0,0,249,1,0,1,0,251,249,1,0,1,0,251,249,1,0,1,0,251,249,1,0,1,0,251,249,1,0,1,0,251,0,0,0,0,251,0,0,0,0,0,0,251,0,0,190,1,0,0,0,191,,,,
01001172022,01,1720,2006,188,0,0,0,0,188,0,0,0,0,188,188,0,0,0,0,188,188,0,0,0,0,188,188,0,0,0,0,188,188,0,0,0,0,188,0,0,0,0,188,0,0,0,0,0,0,188,0,0,135,0,0,0,0,135,,,,
01001172022,01,1720,2007,280,0,0,0,0,279,1,0,0,0,280,279,1,0,0,0,280,279,1,0,0,0,280,279,1,0,0,0,280,279,1,0,0,0,280,0,0,0,0,280,0,0,0,0,0,0,280,0,0,212,1,0,0,0,213,,,,
01001172022,01,1720,2008,182,0,0,0,0,182,0,0,0,0,182,182,0,0,0,0,182,182,0,0,0,0,182,182,0,0,0,0,182,182,0,0,0,0,182,0,0,0,0,182,0,0,0,0,0,0,182,0,0,128,0,0,0,0,128,,,,
01001172022,01,1720,2009,324,0,0,0,0,318,3,0,3,0,324,318,3,0,3,0,324,318,3,0,3,0,324,318,3,0,3,0,324,318,3,0,3,0,324,0,0,0,0,324,0,0,0,0,0,0,324,0,0,256,3,1,0,0,260,,,,
01001172022,01,1720,2016,195,0,0,0,0,195,0,0,0,0,195,195,0,0,0,0,195,192,0,3,0,0,195,192,0,3,0,0,195,192,0,3,0,0,195,0,0,0,0,195,0,0,0,0,0,0,195,0,0,147,0,0,0,0,147,,,,
01001172022,01,1720,2017,225,0,0,0,0,224,0,1,0,0,225,224,0,1,0,0,225,224,0,1,0,0,225,224,0,1,0,0,225,224,0,1,0,0,225,0,0,0,0,225,0,0,0,0,0,0,225,0,0,185,0,1,0,0,186,,,,
01001172022,01,1720,2019,"1,409",12,10,2,2,"1,403",2,3,1,0,"1,409","1,404",2,3,0,0,"1,409","1,404",2,3,0,0,"1,409","1,403",2,2,0,2,"1,409","1,405",2,2,0,0,"1,409",948,2,2,3,446,8,963,0,0,0,0,"1,409",0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,3002,289,9,9,0,0,288,0,0,1,0,289,287,0,0,2,0,289,288,0,0,0,1,289,288,0,0,0,1,289,288,0,0,0,1,289,288,0,0,1,0,0,289,288,0,0,1,0,0,289,283,0,0,0,6,289,,,,
01001172022,01,1720,3004,329,1,1,0,0,325,2,0,1,1,329,325,2,0,1,1,329,326,2,0,0,1,329,326,2,0,0,1,329,326,2,0,0,1,329,326,2,1,0,0,0,329,327,2,0,0,0,0,329,326,2,0,0,1,329,,,,
01001172022,01,1720,3005,12,0,0,0,0,12,0,0,0,0,12,12,0,0,0,0,12,12,0,0,0,0,12,12,0,0,0,0,12,12,0,0,0,0,12,12,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,3006,36,0,0,0,0,36,0,0,0,0,36,36,0,0,0,0,36,36,0,0,0,0,36,36,0,0,0,0,36,36,0,0,0,0,36,35,0,0,1,0,0,36,0,0,0,0,36,0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,3007,33,2,2,2,0,33,0,0,0,0,33,32,0,0,0,1,33,33,0,0,0,0,33,33,0,0,0,0,33,33,0,0,0,0,33,32,0,0,0,0,1,33,0,0,0,0,33,0,0,0,0,0,0,0,0,,,,
01001172022,01,1720,0003,"1,695",6,5,5,1,"1,689",4,2,0,0,"1,695","1,685",4,1,0,5,"1,695","1,688",4,3,0,0,"1,695","1,689",4,2,0,0,"1,695","1,689",4,2,0,0,"1,695","1,679",5,1,8,0,2,"1,695",0,0,0,0,"1,695",0,0,0,0,0,0,0,0,,,,
Totals Adams County,,,,"12,170",48,38,22,10,"12,114",32,11,7,6,"12,170","12,104",34,8,7,17,"12,170","12,113",33,13,4,7,"12,170","12,113",33,11,4,9,"12,170","12,115",33,11,4,7,"12,170","8,188",26,6,22,"3,920",16,"8,258",928,2,0,1,"11,239",0,931,"3,192",12,3,1,8,"3,216",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02002001022,02,0010,2004,237,0,0,4,0,234,0,0,3,0,237,234,0,0,3,0,237,235,0,0,2,0,237,235,0,0,2,0,237,235,0,0,2,0,237,188,0,0,1,48,0,189,188,0,0,1,48,0,189,188,0,0,1,0,189,,,,
02002001022,01,0010,2007,350,0,0,0,0,350,0,0,0,0,350,350,0,0,0,0,350,350,0,0,0,0,350,350,0,0,0,0,350,350,0,0,0,0,350,81,0,0,0,269,0,81,81,0,0,0,269,0,81,70,0,11,0,0,81,,,,
02002001022,02,0010,0001,321,17,15,17,2,321,0,0,0,0,321,309,0,0,0,12,321,321,0,0,0,0,321,321,0,0,0,0,321,321,0,0,0,0,321,318,0,0,0,0,3,321,0,0,0,0,321,0,0,0,0,0,0,0,0,,,,
02002002Z25,02,002Z,n/a,27,0,0,0,0,27,0,0,0,0,27,27,0,0,0,0,27,27,0,0,0,0,27,27,0,0,0,0,27,27,0,0,0,0,27,17,0,0,0,10,0,17,0,0,0,0,27,0,0,4,0,0,0,0,4,,,,
02002004Y14,02,004Y,n/a,33,0,0,0,0,33,0,0,0,0,33,33,0,0,0,0,33,33,0,0,0,0,33,33,0,0,0,0,33,33,0,0,0,0,33,21,0,0,0,12,0,21,3,0,0,0,30,0,3,5,0,0,0,0,5,,,,
02002005026,02,0050,1001,155,1,0,0,1,155,0,0,0,0,155,155,0,0,0,0,155,155,0,0,0,0,155,155,0,0,0,0,155,155,0,0,0,0,155,152,1,0,2,0,0,155,0,0,0,0,155,0,0,0,0,0,0,0,0,,,,
02002005026,02,0050,2002,270,7,6,3,1,265,1,0,0,4,270,262,1,0,1,6,270,264,1,0,0,5,270,264,1,0,0,5,270,264,1,0,0,5,270,75,0,0,2,193,0,77,47,0,0,0,223,0,47,156,0,0,0,3,159,,,,
