Immunization School Survey Report 2004-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDT,Region,District,School,Total Sch. Enroll.,Total - NC,Unduplic.,Total Excluded,NC-PE Only,Polio Prot.,Polio Rel.,Polio Med.,Polio App. Sch.,Polio UP/NC,Polio Total,DTP Prot.,DTP-Rel.,DTP-Med.,DTP-AS,DTP-UP/NC,DTP-Total,Meas. Prot.,Meas. Rel.,Meas. Med.,Meas. AS,Meas. UP/NC,Meas. Total,Rubella Prot.,Rubella-Rel.,Rubella-Med.,Rubella-AS,Rubella-UP/NC,Rubella-Total,Mump Prot.,Mump Rel.,Mump Med.,Mump AS,Mump UP/NC,Mump Total,HepB Prot.,HepB Rel.,HepB Med.,HepB AS,HepB Excluded,HepB UP/NC,HepB Total,Hib Prot.,Hib Rel.,Hib Med.,Hib AS,Hib Excluded,Hib UP/NC,Hib Total,Cpox Prot.,Cpox Rel.,Cpox Med.,Cpox AS,Cpox UP/NC,Cpox Total,,,,
14016236X01,14,236X,n/a,97,0,0,0,0,97,0,0,0,0,97,97,0,0,0,0,97,97,0,0,0,0,97,97,0,0,0,0,97,97,0,0,0,0,97,49,0,0,0,48,0,49,7,0,0,0,90,0,7,31,0,0,0,0,31,,,,
14016237X14,14,237X,n/a,43,0,0,0,0,43,0,0,0,0,43,43,0,0,0,0,43,43,0,0,0,0,43,43,0,0,0,0,43,43,0,0,0,0,43,14,0,0,0,43,0,14,7,0,0,0,43,0,7,19,0,0,0,0,19,,,,
14016241X01,14,241X,n/a,183,0,0,0,0,179,4,0,0,0,183,177,4,0,2,0,183,178,4,0,1,0,183,178,4,0,1,0,183,178,4,0,1,0,183,103,0,0,1,79,0,104,0,0,0,0,183,0,0,61,2,0,0,0,63,,,,
14016243X26,14,243X,n/a,371,3,3,0,0,368,0,0,0,3,371,368,0,0,0,3,371,368,0,0,0,3,371,368,0,0,0,3,371,368,0,0,0,3,371,132,0,0,1,237,1,134,0,0,0,0,371,0,0,151,0,0,0,0,151,,,,
14016244X16,14,244X,n/a,110,8,8,0,0,105,1,0,2,2,110,106,1,0,1,2,110,106,1,0,0,3,110,106,1,0,0,3,110,106,1,0,0,3,110,73,0,0,0,37,0,73,72,0,0,0,38,0,72,94,1,2,0,8,105,,,,
14016248Y05,14,248Y,n/a,53,2,0,0,2,51,2,0,0,0,53,51,2,0,0,0,53,51,2,0,0,0,53,51,2,0,0,0,53,51,2,0,0,0,53,51,2,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,0,0,,,,
14016250X26,14,250X,n/a,37,0,0,0,0,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,37,0,0,0,0,37,21,0,0,0,16,0,21,0,0,0,0,37,0,0,7,0,0,0,0,7,,,,
14016254X27,14,254X,n/a,63,0,0,0,0,63,0,0,0,0,63,63,0,0,0,0,63,63,0,0,0,0,63,63,0,0,0,0,63,63,0,0,0,0,63,63,0,0,0,0,0,63,50,0,0,0,13,0,50,52,0,0,0,0,52,,,,
14016255X16,14,255X,n/a,40,0,0,0,0,39,0,1,0,0,40,39,0,1,0,0,40,38,0,1,1,0,40,38,0,1,1,0,40,38,0,1,1,0,40,32,0,1,1,6,0,34,33,0,1,0,6,0,34,38,0,1,1,0,40,,,,
14016260X10,14,260X,n/a,216,4,4,0,0,215,0,0,0,1,216,216,0,0,0,0,216,215,0,0,0,1,216,215,0,0,0,1,216,215,0,0,0,1,216,91,0,0,0,125,0,91,19,0,0,0,197,0,19,53,0,0,0,2,55,,,,
14016261X10,14,261X,n/a,213,0,0,0,0,213,0,0,0,0,213,213,0,0,0,0,213,213,0,0,0,0,213,213,0,0,0,0,213,213,0,0,0,0,213,63,0,0,0,150,0,63,18,0,0,0,195,0,18,43,0,0,0,0,43,,,,
14016263X10,14,263X,n/a,190,4,1,0,3,190,0,0,0,0,190,190,0,0,0,0,190,190,0,0,0,0,190,190,0,0,0,0,190,190,0,0,0,0,190,70,0,0,0,119,1,71,15,0,0,0,175,0,15,38,0,0,0,0,38,,,,
14016264X10,14,264X,n/a,201,1,0,0,1,201,0,0,0,0,201,201,0,0,0,0,201,201,0,0,0,0,201,201,0,0,0,0,201,201,0,0,0,0,201,68,0,0,0,133,0,68,20,0,0,0,181,0,20,44,0,0,0,0,44,,,,
14016268X10,14,268X,n/a,175,1,1,0,0,175,0,0,0,0,175,175,0,0,0,0,175,175,0,0,0,0,175,175,0,0,0,0,175,175,0,0,0,0,175,92,0,0,0,83,0,92,0,0,0,0,175,0,0,51,0,0,0,1,52,,,,
14016270X06,14,270X,n/a,58,0,0,0,0,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,0,58,58,0,0,0,0,0,58,58,0,0,0,0,58,,,,
14016271X01,14,271X,n/a,502,0,0,0,0,502,0,0,0,0,502,501,1,0,0,0,502,502,0,0,0,0,502,502,0,0,0,0,502,502,0,0,0,0,502,79,0,0,0,423,0,79,0,0,0,0,502,0,0,230,1,0,0,0,231,,,,
14016273Y01,14,273Y,n/a,13,0,0,0,0,13,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,13,13,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,,,,
14016275X01,14,275X,n/a,60,6,3,0,3,56,1,0,0,3,60,55,1,0,1,3,60,56,1,0,0,3,60,58,1,0,0,1,60,58,1,0,0,1,60,58,1,0,0,0,1,60,0,0,0,0,53,0,0,6,0,0,0,0,6,,,,
14016276X10,14,276X,n/a,342,0,0,0,0,340,1,0,1,0,342,339,1,2,0,0,342,341,1,0,0,0,342,341,1,0,0,0,342,341,1,0,0,0,342,164,0,0,2,176,0,166,36,0,0,0,306,0,36,74,0,0,1,0,75,,,,
14016277X10,14,277X,n/a,270,5,4,0,1,265,2,0,0,3,270,265,2,0,0,3,270,265,2,0,0,3,270,265,2,0,0,3,270,265,2,0,0,3,270,130,0,1,0,138,1,132,58,0,0,0,211,1,59,166,1,2,0,4,173,,,,
14016278X10,14,278X,n/a,357,4,4,0,0,354,0,0,0,3,357,354,0,1,0,2,357,356,0,0,0,1,357,356,0,0,0,1,357,356,0,0,0,1,357,223,0,0,0,133,1,224,40,0,0,0,316,1,41,125,0,2,0,1,128,,,,
14016280X10,14,280X,n/a,824,5,3,0,2,823,0,0,0,1,824,823,0,0,0,1,824,824,0,0,0,0,824,824,0,0,0,0,824,823,0,0,0,1,824,438,0,0,2,382,2,442,90,0,0,0,733,1,91,295,0,0,0,1,296,,,,
14016281X10,14,281X,n/a,192,0,0,0,0,192,0,0,0,0,192,192,0,0,0,0,192,192,0,0,0,0,192,192,0,0,0,0,192,192,0,0,0,0,192,95,1,0,0,96,0,96,32,0,0,0,160,0,32,90,0,0,0,0,90,,,,
14016282X10,14,282X,n/a,220,3,2,0,1,218,0,0,1,1,220,219,0,0,0,1,220,218,0,0,0,2,220,219,0,0,0,1,220,219,0,0,0,1,220,37,0,0,0,182,1,38,16,0,0,0,203,1,17,35,0,0,0,1,36,,,,
14016283X10,14,283X,n/a,285,0,0,0,0,284,0,0,1,0,285,284,0,1,0,0,285,285,0,0,0,0,285,285,0,0,0,0,285,285,0,0,0,0,285,135,0,0,1,149,0,136,31,0,0,0,254,0,31,94,0,0,0,0,94,,,,
14016284X10,14,284X,n/a,173,0,0,0,0,173,0,0,0,0,173,173,0,0,0,0,173,173,0,0,0,0,173,173,0,0,0,0,173,173,0,0,0,0,173,84,0,1,0,88,0,85,24,0,0,0,149,0,24,80,0,0,0,0,80,,,,
14016285X10,14,285X,n/a,237,0,0,0,0,236,0,0,1,0,237,236,0,0,1,0,237,236,0,0,1,0,237,237,0,0,0,0,237,237,0,0,0,0,237,116,0,0,1,120,0,117,14,0,0,0,223,0,14,86,0,0,1,0,87,,,,
14016286X10,14,286X,n/a,229,3,2,2,1,226,0,0,0,3,229,227,0,0,0,2,229,226,0,0,1,2,229,226,0,0,1,2,229,226,0,0,1,2,229,143,1,0,0,85,0,144,23,0,0,0,206,0,23,86,2,0,0,0,88,,,,
14016287X01,14,287X,n/a,275,22,20,0,2,260,3,3,1,8,275,261,3,2,1,8,275,262,3,2,1,7,275,262,3,2,1,7,275,262,3,2,1,7,275,121,1,1,1,143,8,132,47,0,1,0,225,2,50,126,1,3,1,14,145,,,,
14016289X10,14,289X,n/a,180,0,0,0,0,180,0,0,0,0,180,180,0,0,0,0,180,180,0,0,0,0,180,180,0,0,0,0,180,180,0,0,0,0,180,98,0,0,0,82,0,98,23,0,0,0,157,0,23,68,0,0,0,0,68,,,,
14016290X10,14,290X,n/a,504,0,0,0,0,501,2,1,0,0,504,502,2,0,0,0,504,502,2,0,0,0,504,502,2,0,0,0,504,502,2,0,0,0,504,234,0,0,1,269,0,235,0,0,0,0,504,0,0,50,1,0,0,0,51,,,,
14016291X10,14,291X,n/a,219,13,10,0,3,210,0,0,0,9,219,210,0,0,0,9,219,207,0,0,0,12,219,208,0,0,0,11,219,208,0,0,0,11,219,108,0,0,0,104,7,115,30,0,0,0,186,3,33,45,0,0,0,5,50,,,,
14016292X10,14,292X,n/a,224,0,0,0,0,222,1,1,0,0,224,222,1,1,0,0,224,222,1,1,0,0,224,222,1,1,0,0,224,222,1,1,0,0,224,79,1,0,0,144,0,80,0,0,0,0,224,0,0,88,0,1,0,0,89,,,,
14016296X10,14,296X,n/a,293,0,0,0,0,292,1,0,0,0,293,292,1,0,0,0,293,292,1,0,0,0,293,292,1,0,0,0,293,292,1,0,0,0,293,152,1,0,0,140,0,153,40,1,0,0,252,0,41,69,1,0,0,0,70,,,,
14016299X10,14,299X,n/a,244,0,0,0,0,242,0,2,0,0,244,244,0,0,0,0,244,242,0,2,0,0,244,242,0,2,0,0,244,242,0,2,0,0,244,102,0,1,0,141,0,103,30,0,0,0,214,0,30,123,0,1,0,0,124,,,,
14016300X10,14,300X,n/a,188,0,0,0,0,188,0,0,0,0,188,188,0,0,0,0,188,188,0,0,0,0,188,188,0,0,0,0,188,188,0,0,0,0,188,91,0,0,0,97,0,91,20,0,0,0,168,0,20,79,0,0,0,0,79,,,,
14016302X10,14,302X,n/a,207,3,2,2,1,198,0,0,0,9,207,190,0,0,0,17,207,192,0,0,0,15,207,192,0,0,0,15,207,192,0,0,0,15,207,160,0,0,0,46,1,161,23,0,0,0,182,2,25,41,0,0,0,2,43,,,,
14016303X10,14,303X,n/a,210,0,0,0,0,210,0,0,0,0,210,210,0,0,0,0,210,210,0,0,0,0,210,210,0,0,0,0,210,210,0,0,0,0,210,74,0,0,0,136,0,74,34,0,0,0,176,0,34,101,0,0,0,0,101,,,,
14016304X10,14,304X,n/a,421,0,0,0,0,421,0,0,0,0,421,421,0,0,0,0,421,421,0,0,0,0,421,421,0,0,0,0,421,421,0,0,0,0,421,208,0,0,0,213,0,208,49,0,0,0,372,0,49,172,0,0,0,0,172,,,,
14016305X10,14,305X,n/a,153,1,1,1,0,152,0,0,0,1,153,152,0,0,0,1,153,152,0,0,0,1,153,152,0,0,0,1,153,152,0,0,0,1,153,74,0,0,0,79,0,74,17,0,0,0,135,1,18,61,0,0,0,1,62,,,,
14016306X10,14,306X,n/a,349,0,0,0,0,349,0,0,0,0,349,349,0,0,0,0,349,349,0,0,0,0,349,349,0,0,0,0,349,349,0,0,0,0,349,192,0,2,0,155,0,194,20,0,0,0,329,0,20,86,1,0,0,0,87,,,,
14016307X10,14,307X,n/a,345,0,0,0,0,343,2,0,0,0,345,343,2,0,0,0,345,343,2,0,0,0,345,343,2,0,0,0,345,343,2,0,0,0,345,159,0,0,0,186,0,159,31,0,0,0,314,0,31,53,1,0,0,0,54,,,,
14016309X10,14,309X,n/a,318,0,0,0,0,318,0,0,0,0,318,318,0,0,0,0,318,317,0,1,0,0,318,317,0,1,0,0,318,317,0,1,0,0,318,187,0,0,0,131,0,187,68,0,0,0,250,0,68,145,0,1,0,0,146,,,,
14016310X10,14,310X,n/a,204,0,0,0,0,204,0,0,0,0,204,204,0,0,0,0,204,204,0,0,0,0,204,204,0,0,0,0,204,204,0,0,0,0,204,103,0,0,0,101,0,103,13,0,0,0,191,0,13,65,0,0,0,0,65,,,,
14016311X10,14,311X,n/a,738,6,4,0,2,737,0,1,0,0,738,737,0,1,0,0,738,736,0,2,0,0,738,736,0,2,0,0,738,736,0,2,0,0,738,379,1,0,1,354,3,384,96,0,0,0,642,0,96,239,2,0,1,1,243,,,,
14016312X10,14,312X,n/a,549,6,3,0,3,545,0,1,0,3,549,544,0,2,0,3,549,545,0,1,0,3,549,543,0,3,0,3,549,543,0,3,0,3,549,322,0,1,2,222,2,327,71,0,1,0,474,3,75,213,0,1,0,3,217,,,,
14016315X10,14,315X,n/a,240,5,3,5,2,240,0,0,0,0,240,240,0,0,0,0,240,239,0,0,0,1,240,239,0,0,0,1,240,239,0,0,0,1,240,116,0,0,1,122,1,118,23,0,0,0,217,0,23,94,0,0,0,1,95,,,,
14016317X10,14,317X,n/a,232,0,0,0,0,226,3,0,3,0,232,227,3,0,2,0,232,228,3,0,1,0,232,229,3,0,0,0,232,229,3,0,0,0,232,231,0,0,1,0,0,232,18,0,0,0,214,0,18,231,0,0,1,0,232,,,,
14016318X03,14,318X,n/a,55,5,5,0,0,41,0,0,0,14,55,41,0,0,0,14,55,40,0,0,0,15,55,40,0,0,0,15,55,40,0,0,0,15,55,9,0,0,0,41,5,14,0,0,0,0,55,0,0,16,0,0,0,9,25,,,,
14016319X10,14,319X,n/a,238,0,0,2,0,238,0,0,0,0,238,238,0,0,0,0,238,238,0,0,0,0,238,238,0,0,0,0,238,238,0,0,0,0,238,236,0,0,2,0,0,238,237,0,0,1,0,0,238,238,0,0,0,0,238,,,,
14016320Y05,14,320Y,n/a,83,0,0,0,0,83,0,0,0,0,83,81,0,2,0,0,83,81,0,2,0,0,83,81,0,2,0,0,83,81,0,2,0,0,83,81,0,2,0,0,0,83,0,0,0,0,83,0,0,0,0,0,0,0,0,,,,
14016321X10,14,321X,n/a,302,0,0,0,0,302,0,0,0,0,302,302,0,0,0,0,302,302,0,0,0,0,302,302,0,0,0,0,302,302,0,0,0,0,302,172,0,0,0,130,0,172,6,0,0,0,296,0,6,61,0,0,0,0,61,,,,
14016324X10,14,324X,n/a,191,1,1,1,0,189,0,0,1,1,191,189,0,0,1,1,191,191,0,0,0,0,191,191,0,0,0,0,191,191,0,0,0,0,191,101,0,0,0,90,0,101,19,0,0,0,172,0,19,65,0,0,0,0,65,,,,
14016325X10,14,325X,n/a,508,16,11,16,5,498,0,0,0,10,508,498,0,0,0,10,508,496,0,1,0,11,508,496,0,1,0,11,508,496,0,1,0,11,508,278,0,0,0,219,11,289,20,0,0,0,488,0,20,57,0,0,0,0,57,,,,
14016326X10,14,326X,n/a,346,1,0,0,1,346,0,0,0,0,346,346,0,0,0,0,346,346,0,0,0,0,346,346,0,0,0,0,346,346,0,0,0,0,346,192,0,0,0,154,0,192,79,0,0,0,267,0,79,107,0,1,0,0,108,,,,
14016328X10,14,328X,n/a,634,0,0,0,0,634,0,0,0,0,634,634,0,0,0,0,634,634,0,0,0,0,634,634,0,0,0,0,634,634,0,0,0,0,634,320,0,0,0,314,0,320,51,0,0,0,583,0,51,235,0,0,0,0,235,,,,
14016329X10,14,329X,n/a,270,1,1,0,0,269,0,0,0,1,270,269,0,0,0,1,270,269,0,0,0,1,270,269,0,0,0,1,270,269,0,0,0,1,270,124,0,0,0,145,1,125,0,0,0,0,270,0,0,42,0,0,0,0,42,,,,
14016331X10,14,331X,n/a,526,4,0,4,4,522,0,0,4,0,526,522,0,0,4,0,526,522,0,0,4,0,526,522,0,0,4,0,526,522,0,0,4,0,526,261,0,0,4,261,0,265,48,0,0,0,478,0,48,88,0,0,0,0,88,,,,
14016336X10,14,336X,n/a,135,10,10,10,0,128,0,0,0,7,135,128,0,0,0,7,135,128,0,0,0,7,135,128,0,0,0,7,135,128,0,0,0,7,135,30,0,0,0,105,0,30,12,0,0,0,123,0,12,44,0,0,0,0,44,,,,
14016337X26,14,337X,n/a,186,15,10,0,5,179,1,0,0,6,186,180,1,0,0,5,186,176,3,2,0,5,186,176,3,2,0,5,186,176,3,2,0,5,186,94,3,0,0,88,1,98,53,0,0,0,132,1,54,96,2,0,0,6,104,,,,
14016339X10,14,339X,n/a,260,0,0,0,0,259,1,0,0,0,260,259,1,0,0,0,260,259,1,0,0,0,260,259,1,0,0,0,260,259,1,0,0,0,260,122,1,0,0,137,0,123,29,0,0,0,231,0,29,108,0,0,0,0,108,,,,
14016340X10,14,340X,n/a,390,2,2,0,0,388,2,0,0,0,390,388,2,0,0,0,390,387,2,0,0,1,390,387,2,0,0,1,390,387,2,0,0,1,390,200,0,0,0,190,0,200,39,0,0,0,351,0,39,144,1,0,0,1,146,,,,
14016342X10,14,342X,n/a,173,0,0,0,0,173,0,0,0,0,173,173,0,0,0,0,173,173,0,0,0,0,173,173,0,0,0,0,173,173,0,0,0,0,173,86,0,0,0,87,0,86,25,0,0,0,148,0,25,76,0,0,0,0,76,,,,
14016344X10,14,344X,n/a,232,37,32,0,5,206,0,0,0,26,232,204,0,0,0,28,232,208,0,0,0,24,232,208,0,0,0,24,232,208,0,0,0,24,232,80,0,0,0,140,12,92,19,0,0,0,211,2,21,84,0,0,0,10,94,,,,
14016346X01,14,346X,n/a,51,0,0,0,0,50,1,0,0,0,51,50,1,0,0,0,51,50,1,0,0,0,51,50,1,0,0,0,51,50,1,0,0,0,51,25,0,0,0,26,0,25,0,0,0,0,51,0,0,10,1,0,0,0,11,,,,
14016347X03,14,347X,n/a,950,0,0,0,0,950,0,0,0,0,950,950,0,0,0,0,950,950,0,0,0,0,950,950,0,0,0,0,950,950,0,0,0,0,950,393,0,0,3,554,0,396,199,0,0,0,751,0,199,298,0,0,22,0,320,,,,
14016348X10,14,348X,n/a,315,0,0,0,0,315,0,0,0,0,315,315,0,0,0,0,315,315,0,0,0,0,315,315,0,0,0,0,315,315,0,0,0,0,315,148,2,0,0,163,0,150,17,0,0,0,298,0,17,40,0,0,0,0,40,,,,
14016349X10,14,349X,n/a,728,0,0,0,0,728,0,0,0,0,728,728,0,0,0,0,728,728,0,0,0,0,728,728,0,0,0,0,728,728,0,0,0,0,728,368,0,0,2,358,0,370,33,0,0,0,695,0,33,172,0,0,0,0,172,,,,
14016350X03,14,350X,n/a,120,0,0,0,0,114,0,0,6,0,120,114,0,0,6,0,120,114,0,0,6,0,120,114,0,0,6,0,120,114,0,0,6,0,120,33,0,0,1,86,0,34,10,0,0,2,108,0,12,52,0,0,0,0,52,,,,
14016352X10,14,352X,n/a,350,0,0,0,0,350,0,0,0,0,350,350,0,0,0,0,350,350,0,0,0,0,350,350,0,0,0,0,350,350,0,0,0,0,350,159,0,0,0,191,0,159,45,0,0,0,305,0,45,176,0,0,0,0,176,,,,
14016353X10,14,353X,n/a,136,0,0,10,0,136,0,0,0,0,136,136,0,0,0,0,136,136,0,0,0,0,136,136,0,0,0,0,136,136,0,0,0,0,136,101,0,0,0,35,0,101,0,0,0,0,136,0,0,35,0,0,0,0,35,,,,
14016355X01,14,355X,n/a,58,0,0,0,0,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,58,0,0,0,0,58,0,0,0,0,58,0,0,2,0,0,0,56,0,2,58,0,0,0,0,58,,,,
14016356X10,14,356X,n/a,209,0,0,0,0,209,0,0,0,0,209,208,0,0,1,0,209,209,0,0,0,0,209,209,0,0,0,0,209,209,0,0,0,0,209,95,0,0,2,112,0,97,16,0,0,0,193,0,16,77,0,0,1,0,78,,,,
14016357X10,14,357X,n/a,259,0,0,0,0,259,0,0,0,0,259,259,0,0,0,0,259,259,0,0,0,0,259,259,0,0,0,0,259,259,0,0,0,0,259,143,0,0,0,116,0,143,45,0,0,0,214,0,45,121,0,0,0,0,121,,,,
14016361S19,14,361S,n/a,37,1,1,0,0,35,1,0,0,1,37,35,2,0,0,0,37,36,1,0,0,0,37,36,1,0,0,0,37,36,1,0,0,0,37,33,1,0,3,0,0,37,0,0,0,0,37,0,0,0,0,0,0,0,0,,,,
14016362X10,14,362X,n/a,744,0,0,0,0,735,0,0,9,0,744,735,0,0,9,0,744,734,0,0,10,0,744,744,0,0,0,0,744,744,0,0,0,0,744,323,2,0,1,418,0,326,19,0,0,0,725,0,19,248,0,0,0,0,248,,,,
14016365X10,14,365X,n/a,244,0,0,2,0,244,0,0,0,0,244,244,0,0,0,0,244,244,0,0,0,0,244,244,0,0,0,0,244,244,0,0,0,0,244,123,1,1,0,119,0,125,14,0,0,0,230,0,14,86,1,0,0,0,87,,,,
14016366X10,14,366X,n/a,329,1,0,1,1,329,0,0,0,0,329,329,0,0,0,0,329,329,0,0,0,0,329,329,0,0,0,0,329,329,0,0,0,0,329,165,0,0,0,164,0,165,45,0,0,0,284,0,45,80,0,0,0,0,80,,,,
14016367X10,14,367X,n/a,262,26,21,57,5,241,0,0,1,20,262,242,0,0,1,19,262,243,0,0,1,18,262,249,0,0,0,13,262,249,0,0,0,13,262,127,0,0,3,125,7,137,19,0,0,0,239,4,23,19,0,0,0,4,23,,,,
14016368X10,14,368X,n/a,167,6,3,0,3,164,0,0,0,3,167,164,0,0,0,3,167,165,0,0,0,2,167,165,0,0,0,2,167,165,0,0,0,2,167,78,0,0,1,89,0,79,31,0,0,0,136,0,31,81,0,0,0,0,81,,,,
14016369X10,14,369X,n/a,320,5,3,5,2,320,0,0,0,0,320,320,0,0,0,0,320,320,0,0,0,0,320,320,0,0,0,0,320,320,0,0,0,0,320,162,0,0,0,155,3,165,34,0,0,0,286,0,34,121,0,0,0,0,121,,,,
14016370X10,14,370X,n/a,460,0,0,0,0,460,0,0,0,0,460,460,0,0,0,0,460,460,0,0,0,0,460,460,0,0,0,0,460,460,0,0,0,0,460,74,0,0,0,372,0,74,31,0,0,0,415,0,31,62,0,0,0,0,62,,,,
14016371X10,14,371X,n/a,154,0,0,0,0,154,0,0,0,0,154,154,0,0,0,0,154,154,0,0,0,0,154,154,0,0,0,0,154,154,0,0,0,0,154,95,0,0,0,59,0,95,15,0,0,0,139,0,15,58,0,0,0,0,58,,,,
14016372X10,14,372X,n/a,327,1,1,1,0,326,0,0,0,1,327,326,0,0,0,1,327,326,0,0,0,1,327,326,0,0,0,1,327,326,0,0,0,1,327,180,0,0,0,147,0,180,27,0,0,0,300,0,27,100,0,0,14,0,114,,,,
14016374S19,14,374S,n/a,46,3,1,3,2,46,0,0,0,0,46,46,0,0,0,0,46,46,0,0,0,0,46,46,0,0,0,0,46,46,0,0,0,0,46,45,0,0,0,0,1,46,0,0,0,0,46,0,0,0,0,0,0,0,0,,,,
14016375X10,14,375X,n/a,262,0,0,0,0,262,0,0,0,0,262,262,0,0,0,0,262,262,0,0,0,0,262,262,0,0,0,0,262,262,0,0,0,0,262,142,0,0,0,120,0,142,36,0,0,0,226,0,36,102,0,0,0,0,102,,,,
14016376X10,14,376X,n/a,184,0,0,0,0,184,0,0,0,0,184,184,0,0,0,0,184,184,0,0,0,0,184,184,0,0,0,0,184,184,0,0,0,0,184,79,0,0,0,105,0,79,14,0,0,0,170,0,14,33,0,0,0,0,33,,,,
14016378X10,14,378X,n/a,409,2,2,2,0,409,0,0,0,0,409,409,0,0,0,0,409,407,0,0,0,2,409,409,0,0,0,0,409,409,0,0,0,0,409,207,0,0,0,202,0,207,25,0,0,0,384,0,25,139,0,0,0,0,139,,,,
14016382X10,14,382X,n/a,238,0,0,0,0,238,0,0,0,0,238,238,0,0,0,0,238,238,0,0,0,0,238,238,0,0,0,0,238,238,0,0,0,0,238,127,0,0,0,111,0,127,27,0,0,0,211,0,27,93,0,0,1,0,94,,,,
14016383X10,14,383X,n/a,333,2,1,1,1,333,0,0,0,0,333,333,0,0,0,0,333,333,0,0,0,0,333,333,0,0,0,0,333,333,0,0,0,0,333,134,0,0,0,199,0,134,36,0,0,4,293,0,40,127,0,0,0,1,128,,,,
14016384X10,14,384X,n/a,206,0,0,0,0,206,0,0,0,0,206,206,0,0,0,0,206,206,0,0,0,0,206,206,0,0,0,0,206,206,0,0,0,0,206,88,0,0,0,118,0,88,4,0,0,0,202,0,4,58,0,0,0,0,58,,,,
14016386X01,14,386X,n/a,49,6,3,0,3,49,0,0,0,0,49,48,0,0,0,1,49,49,0,0,0,0,49,49,0,0,0,0,49,49,0,0,0,0,49,47,0,0,0,0,2,49,0,0,0,0,49,0,0,0,0,0,0,0,0,,,,
14016387X26,14,387X,n/a,27,0,0,0,0,25,0,0,2,0,27,25,0,0,2,0,27,25,0,0,2,0,27,25,0,0,2,0,27,25,0,0,2,0,27,13,0,0,0,14,0,13,12,0,0,1,14,0,13,14,0,0,3,0,17,,,,
14016388X10,14,388X,n/a,269,0,0,0,0,265,2,0,2,0,269,267,2,0,0,0,269,267,2,0,0,0,269,267,2,0,0,0,269,267,2,0,0,0,269,91,0,0,1,177,0,92,64,0,0,0,205,0,64,169,0,0,0,0,169,,,,
14016389X10,14,389X,n/a,196,18,9,9,9,187,0,0,0,9,196,187,0,0,0,9,196,187,0,0,0,9,196,187,0,0,0,9,196,187,0,0,0,9,196,28,0,0,0,160,8,36,14,0,0,0,177,5,19,24,0,0,0,0,24,,,,
14016392X10,14,392X,n/a,230,0,0,0,0,230,0,0,0,0,230,230,0,0,0,0,230,230,0,0,0,0,230,230,0,0,0,0,230,230,0,0,0,0,230,112,0,0,0,118,0,112,38,0,0,0,192,0,38,108,0,0,0,0,108,,,,
14016393X10,14,393X,n/a,247,3,3,3,0,244,0,0,0,3,247,244,0,0,0,3,247,244,0,0,0,3,247,244,0,0,0,3,247,244,0,0,0,3,247,121,0,0,0,123,3,124,21,0,0,0,225,1,22,90,0,0,0,1,91,,,,
14016394X10,14,394X,n/a,126,0,0,0,0,126,0,0,0,0,126,126,0,0,0,0,126,125,0,1,0,0,126,126,0,0,0,0,126,126,0,0,0,0,126,126,0,0,0,0,0,126,0,0,0,0,126,0,0,0,0,0,0,0,0,,,,
14016395X10,14,395X,n/a,371,0,0,0,0,371,0,0,0,0,371,371,0,0,0,0,371,371,0,0,0,0,371,371,0,0,0,0,371,371,0,0,0,0,371,116,0,0,0,255,0,116,24,0,0,0,347,0,24,95,0,0,0,0,95,,,,
14016396X10,14,396X,n/a,745,19,19,51,0,663,51,0,12,19,745,663,51,0,12,19,745,663,51,0,12,19,745,663,51,0,12,19,745,663,51,0,12,19,745,508,10,0,19,188,20,557,24,24,0,25,657,15,88,131,17,0,18,7,173,,,,
14016399X10,14,399X,n/a,277,8,6,0,2,269,1,3,0,4,277,271,1,1,0,4,277,266,1,3,1,6,277,272,1,0,0,4,277,272,1,0,0,4,277,139,0,0,0,135,3,142,23,0,0,0,253,1,24,108,1,0,0,3,112,,,,
14016401026,14,4010,1001,505,0,0,0,0,505,0,0,0,0,505,505,0,0,0,0,505,504,0,0,1,0,505,505,0,0,0,0,505,505,0,0,0,0,505,501,0,0,4,0,0,505,0,0,0,0,486,0,0,0,0,0,0,0,0,,,,
14016401026,14,4010,2003,544,0,0,0,0,543,0,1,0,0,544,543,0,1,0,0,544,543,0,1,0,0,544,544,0,0,0,0,544,544,0,0,0,0,544,208,0,0,1,335,0,209,0,0,0,0,544,0,0,0,0,0,0,0,0,,,,
14016401026,14,4010,2004,677,0,0,0,0,677,0,0,0,0,677,676,0,0,1,0,677,677,0,0,0,0,677,677,0,0,0,0,677,677,0,0,0,0,677,227,0,0,7,443,0,234,0,0,0,0,677,0,0,0,0,0,0,0,0,,,,
