2009-2010 School Year Immunization Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCDTS,Facility,RCDT,School,Enrollment,TotalNC,UnduplCount,NCPE,Excluded,PolioProt,PolioNcNp,PolioMedObj,PolioRelObj,PolioApprSchd,PolioTotal,DtpProt,DtpNcNp,DtpMedObj,DtpRelObj,DtpApprSchd,DtpTotal,MeasProt,MeasNcNp,MeasMedObj,MeasRelObj,MeasApprSchd,MeasTotal,RubProt,RubNcNp,RubMedObj,RubRelObj,RubApprSchd,RubTotal,MumpProt,MumpNcNp,MumpMedObj,MumpRelObj,MumpApprSchd,MumpTotal,HepProt,HepNcNp,HepMedObj,HepRelObj,HepApprSchd,HepTotal,HibProt,HibNcNp,HibMedObj,HibRelObj,HibApprSchd,HibTotal,CpoxProt,CpoxNcNp,CpoxMedObj,CpoxRelObj,CpoxApprSchd,CpoxTotal
460092620262001,A-C Central Elementary School,46009262026,2001,170,2,2,0,0,168,1,0,0,1,170,168,1,0,0,1,170,168,1,0,0,1,170,168,1,0,0,1,170,168,1,0,0,1,170,0,0,0,0,0,0,0,0,0,0,0,0,168,1,0,0,1,170
460092620260002,A-C Central High School,46009262026,0002,130,7,7,0,0,130,0,0,0,0,130,109,21,0,0,0,130,130,0,0,0,0,130,130,0,0,0,0,130,130,0,0,0,0,130,130,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
460092620261002,A-C Central Middle School,46009262026,1002,132,0,0,0,0,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,132,0,0,0,0,132,0,0,0,0,0,0,102,0,0,0,0,102
15016299025002C,Acad of Comm & Tech Charter HS,15016299025,002C,322,182,125,57,0,304,18,0,0,0,322,204,116,1,1,0,322,302,20,0,0,0,322,305,17,0,0,0,322,305,17,0,0,0,322,294,26,1,1,0,322,0,0,0,0,0,0,34,7,0,0,0,41
14016302X100000,Acad of St Benedict the African,14016302X10,0000,100,0,0,0,9,98,0,0,0,2,100,98,0,0,0,2,100,98,0,0,0,2,100,98,0,0,0,2,100,98,0,0,0,2,100,63,0,0,0,1,64,12,0,0,0,0,12,83,0,0,0,2,85
14016498X100000,Acad of St Priscilla,14016498X10,0000,18,0,0,0,0,18,0,0,0,0,18,18,0,0,0,0,18,18,0,0,0,0,18,18,0,0,0,0,18,18,0,0,0,0,18,12,0,0,0,0,12,12,0,0,0,0,12,18,0,0,0,0,18
041012050250005,Academic Career Ed High School,04101205025,0005,60,1,1,0,1,60,0,0,0,0,60,59,1,0,0,0,60,60,0,0,0,0,60,60,0,0,0,0,60,60,0,0,0,0,60,60,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0
34049025X100000,Academy of Our Lady,34049025X10,0000,334,62,1,61,0,333,1,0,0,0,334,333,1,0,0,0,334,333,1,0,0,0,334,333,1,0,0,0,334,333,1,0,0,0,334,175,1,0,0,0,176,32,0,0,0,0,32,293,1,0,0,0,294
14016608X100000,Academy of St Benedict,14016608X10,0000,170,0,0,0,0,147,0,0,0,23,170,147,0,0,0,23,170,147,0,0,0,23,170,147,0,0,0,23,170,147,0,0,0,23,170,73,0,0,0,7,80,19,0,0,0,4,23,133,0,0,0,22,155
14016271X100000,Academy Sacred Heart/Hardey Prep,14016271X10,0000,680,3,3,0,0,679,0,0,1,0,680,676,0,0,2,2,680,671,0,0,1,8,680,671,0,0,1,8,680,671,0,0,1,8,680,284,3,0,1,1,289,0,0,0,0,0,0,603,0,0,2,6,611
14016756X160000,Acarath Montessori Center,14016756X16,0000,128,0,0,0,0,128,0,0,0,0,128,128,0,0,0,0,128,128,0,0,0,0,128,128,0,0,0,0,128,128,0,0,0,0,128,76,8,0,0,0,84,79,5,0,0,0,84,128,0,0,0,0,128
15016299025009C,Ace Technical Charter High School,15016299025,009C,510,256,166,90,0,495,15,0,0,0,510,347,162,1,0,0,510,492,18,0,0,0,510,494,16,0,0,0,510,494,16,0,0,0,510,486,23,0,1,0,510,0,0,0,0,0,0,0,0,0,0,0,0
380540270022003,Adams Elem School,38054027002,2003,124,0,0,0,0,124,0,0,0,0,124,124,0,0,0,0,124,124,0,0,0,0,124,124,0,0,0,0,124,124,0,0,0,0,124,51,0,0,0,0,51,51,0,0,0,0,51,124,0,0,0,0,124
010011720222004,Adams Elementary School,01001172022,2004,332,0,0,0,0,331,0,1,0,0,332,332,0,0,0,0,332,330,0,2,0,0,332,330,0,2,0,0,332,330,0,2,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,332,0,0,0,0,332
150162990252051,Addams Elem School,15016299025,2051,915,154,78,76,0,897,17,1,0,0,915,889,25,1,0,0,915,881,33,1,0,0,915,901,13,1,0,0,915,901,13,1,0,0,915,473,15,0,0,0,488,81,1,0,0,0,82,798,20,1,0,0,819
190220880160001,Addison Trail High School,19022088016,0001,1819,0,0,0,0,1815,0,0,4,0,1819,1815,0,0,4,0,1819,1816,0,0,3,0,1819,1816,0,0,3,0,1819,1816,0,0,3,0,1819,1815,0,0,4,0,1819,0,0,0,0,0,0,0,0,0,0,0,0
340491250130001,Adlai E Stevenson High School,34049125013,0001,4433,1,1,0,0,4413,0,1,15,4,4433,4397,1,2,14,19,4433,4418,0,0,14,1,4433,4419,0,0,14,0,4433,4419,0,0,14,0,4433,4414,0,1,12,6,4433,0,0,0,0,0,0,0,0,0,0,0,0
140160540042028,Adlai Stevenson Elem School,14016054004,2028,430,5,3,2,0,421,3,3,2,1,430,421,3,2,2,2,430,419,4,4,3,0,430,419,4,4,3,0,430,419,4,4,3,0,430,218,1,3,2,1,225,109,0,1,1,4,115,421,3,3,3,0,430
340490700022007,Adler Park School,34049070002,2007,297,0,0,0,0,296,0,1,0,0,297,296,0,1,0,0,297,292,0,1,2,2,297,297,0,0,0,0,297,297,0,0,0,0,297,78,0,0,0,0,78,10,0,0,0,0,10,296,0,0,1,0,297
